66.102.8.112 - - [22/Jan/2023:13:53:42 -0800] "GET / HTTP/2.0" 200 685 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4590.2 Safari/537.36 Chrome-Lighthouse" 
66.102.8.112 - - [22/Jan/2023:13:53:45 -0800] "GET / HTTP/2.0" 200 685 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4590.2 Safari/537.36 Chrome-Lighthouse" 
177.232.87.5 - - [22/Jan/2023:17:28:06 -0800] "GET / HTTP/2.0" 200 685 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:28:07 -0800] "GET /favicon.ico HTTP/2.0" 200 269 "https://marcam180.dreamhosters.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:38:25 -0800] "GET /testing HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:39:40 -0800] "GET /testing HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:40:13 -0800] "GET /testing HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:40:15 -0800] "GET /testing HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:40:30 -0800] "GET /testing HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:41:55 -0800] "GET / HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:42:08 -0800] "GET /testting HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
177.232.87.5 - - [22/Jan/2023:17:44:51 -0800] "GET /testting HTTP/2.0" 500 2761 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" 
